Category,Code,Description,Safety Barrier
0: Infrastructure,0a,Implementation of national and international codes of practice for radiation dosimetry,SB
0: Infrastructure,0b,Development of dosimetry algorithms for local application (includes locally developed software/ programs/ tools for clinical use),
0: Infrastructure,0c,Development of treatment planning algorithms for local application,
0: Infrastructure,0d,Other,
0: Infrastructure,0e,IT infrastructure (includes change in hardware/ software/ upgrades/ network changes/ archive process/ system compatibility/ data transfer),
1: Room design,1a,Patient safety (includes alteration of room design or use),SB
1: Room design,1b,Staff and public safety (includes alteration of room design or use),SB
1: Room design,1c,Environmental controls,SB
1: Room design,1d,Access control,SB
1: Room design,1e,Other,
2: New equipment,2a,Installation,
2: New equipment,2b,Manufacturer’s tests,SB
2: New equipment,2c,Acceptance tests,SB
2: New equipment,2d,Critical examination under IRR99,SB
2: New equipment,2e,Customisation and configuration of equipment,
2: New equipment,2f,Commissioning,SB
2: New equipment,2g,Data recording,
2: New equipment,2h,"Preparation of data files for planning systems (to include treatment planning systems, virtual simulation, independent dosimetry checking software etc)",
2: New equipment,2i,Other,
3: Routine machine QA,3a,"Daily consistency checks – geometric parameters (including CT, Linac, gated equipment, in vivo dosimetry devices etc and discrepancies between reporting and action level)",SB
3: Routine machine QA,3b,"Daily consistency checks – dosimetric calibration (including CT, Linac, gated equipment, in vivo dosimetry devices etc and discrepancies between reporting and action level)",SB
3: Routine machine QA,3c,Daily consistency checks – safety (IRR compliance),SB
3: Routine machine QA,3d,"Daily verification of accuracy of data transfer between TPS, R&V system and treatment equipment",SB
3: Routine machine QA,3e,"Planned QA programme checks – geometric parameters (including CT, Linac, gated equipment, in vivo dosimetry devices etc and discrepancies between reporting and action level)",SB
3: Routine machine QA,3f,"Planned QA programme checks – dosimetric calibration (including CT, Linac, gated equipment, in vivo dosimetry devices etc and discrepancies between reporting and action level)",SB
3: Routine machine QA,3g,Planned QA programme checks – safety (IRR compliance),SB
3: Routine machine QA,3h,"Planned QA programme checks – image quality parameters (including CT, MR, portal, cone-beam, film processor)",SB
3: Routine machine QA,3i,Regular preventative maintenance and repair programme,SB
3: Routine machine QA,3j,Handover of radiotherapy equipment after planned QA and maintenance (including handover to other department such as diagnostic colleagues),
3: Routine machine QA,3k,Routine radiation safety checks,SB
3: Routine machine QA,3l,Other,
4: Referral for treatment,4a,Identification of patient (verification against primary source data),SB
4: Referral for treatment,4b,Verification of diagnosis/extent/stage (including laterality),SB
4: Referral for treatment,4c,Choice of dose,
4: Referral for treatment,4d,Choice of modality,
4: Referral for treatment,4e,Choice of energy,
